index,predicted_copy_number
ASV865,2.022584173
ASV866,1.596594807
ASV867,2.465392701
ASV868,9.000041389
ASV869,1.748438785
ASV870,3.260926517
ASV871,1.659779699
ASV872,1.756367897
ASV873,2.765010295
ASV874,2.80224532
ASV875,1.488108668
ASV876,2.807702538
ASV877,1.199995794
ASV878,1.780692231
ASV879,3.256864483
ASV880,3.537504956
ASV881,1.569572298
ASV882,1.92873257
ASV883,1.878613123
ASV884,2.825468969
ASV885,1.947414189
ASV886,2.156494675
ASV887,3.887365694
ASV888,1.710292331
ASV889,1.989861603
ASV890,1.626350084
ASV891,3.414764528
ASV892,1.560659226
ASV893,2.270620282
ASV894,2.792976861
ASV895,3.429604162
ASV896,1.486793484
ASV897,1.957932122
ASV898,1.271553623
ASV899,1.595863871
ASV900,2.375119497
ASV901,4.126844941
ASV902,2.779794718
ASV903,2.412924348
ASV904,1.647233069
ASV905,2.401075469
ASV906,1.849168298
ASV907,1.094615552
ASV908,1.653284304
ASV909,3.323878585
ASV910,2.871027205
ASV911,1.403227777
ASV912,2.651756731
ASV913,3.898846148
ASV914,2.163058179
ASV915,2.11110066
ASV916,2.556577779
ASV917,1.649685506
ASV918,1.96013122
ASV919,1.869637987
ASV920,2.137825524
ASV921,3.016091089
ASV922,5.234321498
ASV923,7.977655956
ASV924,1.925289434
ASV925,2.314941991
ASV926,1.97362228
ASV927,2.439047228
ASV928,1.572589558
ASV929,2.053706476
ASV930,1.858704615
ASV931,4.651755701
ASV932,2.403121406
ASV933,2.362775286
ASV934,1.732319496
ASV935,2.76657411
ASV936,2.602660216
ASV937,4.032091282
ASV938,4.338501689
ASV939,2.971034745
ASV940,4.017458504
ASV941,1.775251971
ASV942,2.761510046
ASV943,1.424962171
ASV944,2.470474193
ASV945,3.697453583
ASV946,1.986077969
ASV947,1.673792841
ASV948,2.599861026
ASV949,2.355481366
ASV950,3.347609731
ASV951,1.347655315
ASV952,2.316828841
ASV953,1.203990188
ASV954,1.579321601
ASV955,2.549481465
ASV956,3.6000951
ASV957,1.732472812
ASV958,1.871118811
ASV959,2.443206785
ASV960,4.784195115
ASV961,1.778201228
ASV962,2.04120836
ASV963,1.396009686
ASV964,1.237534961
ASV965,1.779020951
ASV966,3.170030183
ASV967,2.514645535
ASV968,2.219674997
ASV969,2.210037537
ASV970,3.666695355
ASV971,1.881619031
ASV972,2.255167957
ASV973,2.402027135
ASV974,1.541103759
ASV975,11.44292629
ASV976,1.621577673
ASV977,3.086408332
ASV978,1.748920585
ASV979,1.378936669
ASV980,6.310186187
ASV981,2.548533473
ASV982,1.429652735
ASV983,2.313887367
ASV984,2.929831191
ASV985,2.642103393
ASV986,1.621092775
ASV987,2.844509813
ASV988,6.390797395
ASV989,1.776132065
ASV990,1.979115035
ASV991,2.715678656
ASV992,1.562933574
ASV993,6.874631146
ASV994,4.30283986
ASV995,3.59745826
ASV996,1.072419611
ASV997,6.430539984
ASV998,1.753001447
ASV999,3.182546842
ASV1000,2.567354703
ASV1001,2.725232951
ASV1002,1.508907211
ASV1003,1.963211538
ASV1004,1.778830424
ASV1005,2.539897676
ASV1006,1.658376235
ASV1007,3.444468527
ASV1008,2.601957149
ASV1009,3.3541476
ASV1010,1.246149155
ASV1011,2.913411474
ASV1012,4.862958684
ASV1013,1.291252369
ASV1014,1.866655994
ASV1015,1.573729809
ASV1016,1.907763151
ASV1017,1.748505011
ASV1018,3.243007994
ASV1019,1.660467565
ASV1020,2.727008336
ASV1021,1.748768588
ASV1022,1.19990846
ASV1023,6.906349692
ASV1024,2.025738128
ASV1025,3.572446187
ASV1026,1.129607878
ASV1027,2.2376396
ASV1028,1.919197272
ASV1029,2.210699636
ASV1030,1.827060385
ASV1031,4.285583363
ASV1032,4.348977964
ASV1033,2.0527045
ASV1034,2.685972259
ASV1035,3.398648648
ASV1036,4.907334475
ASV1037,5.171937576
ASV1038,2.236100394
ASV1039,1.782173248
ASV1040,1.483606334
ASV1041,2.564926649
ASV1042,1.897854097
ASV1043,5.35090066
ASV1044,8.930604669
ASV1045,1.716888809
ASV1046,1.060643092
ASV1047,1.822168684
ASV1048,2.518690155
ASV1049,1.900445315
ASV1050,3.471620019
ASV1051,1.297278798
ASV1052,3.862963431
ASV1053,4.210112616
ASV1054,2.77491668
ASV1055,2.38347779
ASV1056,1.886032629
ASV1057,8.170058007
ASV1058,2.331103692
ASV1059,2.56870746
ASV1060,1.386667552
ASV1061,2.468007211
ASV1062,1.739096503
ASV1063,2.463749839
ASV1064,1.369117257
ASV1065,1.210720625
ASV1066,3.916891747
ASV1067,1.794565857
ASV1068,4.937878687
ASV1069,2.658726233
ASV1070,3.055019386
ASV1071,3.146773855
ASV1072,3.430938914
ASV1073,1.138329503
ASV1074,3.1601222
ASV1075,3.457824735
ASV1076,4.385456785
ASV1077,2.011992456
ASV1078,2.451095542
ASV1079,1.840766655
ASV1080,2.101116534
ASV1081,1.688591501
ASV1082,1.522100079
ASV1083,2.574783648
ASV1084,1.616263914
ASV1085,1.883624296
ASV1086,2.56198254
ASV1087,1.815252193
ASV1088,2.358178528
ASV1089,2.448385966
ASV1090,2.023089022
ASV1091,1.727316359
ASV1092,2.060108531
ASV1093,2.208190149
ASV1094,6.777959201
ASV1095,6.461611356
ASV1096,1.859291306
ASV1097,1.419511144
ASV1098,2.423931104
ASV1099,3.182259738
ASV1100,10.17611251
ASV1101,2.321419329
ASV1102,1.363821617
ASV1103,1.4311162
ASV1104,1.199845254
ASV1105,1.803576285
ASV1106,1.444025159
ASV1107,2.302916013
ASV1108,1.974033815
ASV1109,2.424527165
ASV1110,1.58576405
ASV1111,2.08133025
ASV1112,2.664019454
ASV1113,1.511861184
ASV1114,2.963346335
ASV1115,7.56710934
ASV1116,2.90779866
ASV1117,2.136367586
ASV1118,1.571494784
ASV1119,1.763383622
ASV1120,3.3308758
ASV1121,2.384934558
ASV1122,1.583659742
ASV1123,2.210784698
ASV1124,1.351565622
ASV1125,2.839061538
ASV1126,1.484793545
ASV1127,2.595734834
ASV1128,2.269450877
ASV1129,3.056721761
ASV1130,2.78798298
ASV1131,4.204966279
ASV1132,2.711427502
ASV1133,2.098432605
ASV1134,1.799062618
ASV1135,1.28023913
ASV1136,2.386098165
ASV1137,1.80079994
ASV1138,2.309048469
ASV1139,5.051015984
ASV1140,1.989592245
ASV1141,2.007279201
ASV1142,3.303655688
ASV1143,1.745356756
ASV1144,2.44663583
ASV1145,1.995038125
ASV1146,2.327592483
ASV1147,1.93390587
ASV1148,1.764156711
ASV1149,2.117445243
ASV1150,8.833791108
ASV1151,1.68674334
ASV1152,1.296659768
ASV1153,2.887645106
ASV1154,2.509053945
ASV1155,1.744304047
ASV1156,2.770225044
ASV1157,2.587155427
ASV1158,1.22441302
ASV1159,1.349784206
ASV1160,1.689730607
ASV1161,2.667964113
ASV1162,2.914501389
ASV1163,2.865552881
ASV1164,1.444239118
ASV1165,1.359310728
ASV1166,1.816985083
ASV1167,1.676059194
ASV1168,2.903480359
ASV1169,1.984288422
ASV1170,3.677132117
ASV1171,2.380009525
ASV1172,2.547176935
ASV1173,1.723990212
ASV1174,2.233224768
ASV1175,5.730680225
ASV1176,5.292547048
ASV1177,3.596095033
ASV1178,4.350126758
ASV1179,1.609659872
ASV1180,1.400805516
ASV1181,1.490447097
ASV1182,1.745658434
ASV1183,1.501117878
ASV1184,2.163826829
ASV1185,2.755215297
ASV1186,4.748504456
ASV1187,1.980491944
ASV1188,2.59333256
ASV1189,2.610726327
ASV1190,5.425863217
ASV1191,2.581196577
ASV1192,1.924535288
ASV1193,2.210885582
ASV1194,2.742881584
ASV1195,2.201151585
ASV1196,3.176330701
ASV1197,2.487320656
ASV1198,1.484490521
ASV1199,2.596138648
ASV1200,2.70081034
ASV1201,2.437761253
